Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D10.0mm_W2.5mm_P5.00mm,1,1uF,
C2,C_Disc_D10.0mm_W2.5mm_P5.00mm,1,0.1uF,
C3,CP_Radial_D10.0mm_P5.00mm,1,10uF,
"D1, D2, D3",D_DO-41_SOD81_P3.81mm_Vertical_AnodeUp,3,1N47xxA,
J2,PinSocket_1x03_P2.54mm_Vertical,1,IN,
J3,PinSocket_1x06_P2.54mm_Vertical,1,PROG,
J4,PinSocket_1x02_P2.54mm_Vertical,1,POWER_IN,
J6,PinSocket_1x12_P2.54mm_Vertical,1,OUTPUT,
"R1, R2, R3, R4, R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,6,10k,
"R11, R12, R13",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,470,
"R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,100,
U1,DIP-14_W7.62mm,1,ATtiny24-20P,
U2,TO-220-3_Vertical,1,LM7805_TO220,
